rank,method_key,filename,mAP,NDS,mATE,mASE,mAOE,mAVE,mAAE,AP_car,AP_truck,AP_trailer,AP_bus,AP_construction_vehicle,AP_bicycle,AP_motorcycle,AP_pedestrian,AP_traffic_cone,AP_barrier,total_time_s,n_samples,per_sample_s
29,BASELINE/simple_centroid_pca_baseline,simple_centroid_pca_baseline.json,0.201465,0.206728,0.789019,0.414721,1.488271,1.785641,0.736311,0.159381,0.156845,0.000000,0.019119,0.271002,0.095399,0.188666,0.451799,0.382434,0.290008,,,
30,METHOD_D/submission_method_d2,submission_method_d2_20260209_103114.json,0.200777,0.215631,0.708916,0.411554,1.449362,1.831184,0.727101,0.207283,0.126398,0.000000,0.051711,0.205211,0.142652,0.193944,0.478702,0.347620,0.254245,,,
31,METHOD_D/submission_method_d2,submission_method_d2_20260209_105113.json,0.200730,0.214735,0.726520,0.411954,1.366913,1.770001,0.717827,0.197699,0.122029,0.000000,0.053906,0.214974,0.153085,0.182829,0.478702,0.347620,0.256457,,,
32,METHOD_D/submission_method_d2,submission_method_d2_20260209_104709.json,0.198666,0.212952,0.733076,0.411982,1.527907,1.773103,0.718749,0.197671,0.122029,0.000000,0.053906,0.214974,0.143688,0.182829,0.478702,0.347620,0.245236,,,
33,METHOD_D/submission_method_d2,submission_method_d2_20260209_113127.json,0.197951,0.211258,0.732903,0.408180,1.328943,1.856889,0.736096,0.194360,0.136940,0.000000,0.058564,0.197917,0.148921,0.191841,0.478702,0.347620,0.224649,,,
34,METHOD_D/submission_method_d2,submission_method_d2_20260209_113421.json,0.197951,0.211258,0.732903,0.408180,1.328943,1.856889,0.736096,0.194360,0.136940,0.000000,0.058564,0.197917,0.148921,0.191841,0.478702,0.347620,0.224649,,,
35,METHOD_D/submission_method_d2,submission_method_d2_20260209_114217.json,0.197951,0.211258,0.732903,0.408180,1.328943,1.856889,0.736096,0.194360,0.136940,0.000000,0.058564,0.197917,0.148921,0.191841,0.478702,0.347620,0.224649,,,
36,BASELINE/results_cad_icp,results_cad_icp_train_20260204_183955_submission.json,0.195365,0.211658,0.706306,0.412872,1.443456,1.792500,0.741067,0.202615,0.172488,0.000000,0.050125,0.296864,0.104398,0.208087,0.437434,0.196661,0.284979,2360.3,323,7.31
37,BASELINE/results_cad_icp,results_cad_icp_train_20260204_192807_submission.json,0.192714,0.209305,0.718843,0.412341,1.356334,1.790367,0.739332,0.194054,0.166918,0.000000,0.050343,0.301485,0.094573,0.208723,0.435248,0.193393,0.282400,2360.7,323,7.31
38,METHOD_D/submission_method_d2,submission_method_d2_20260209_113726.json,0.190988,0.199703,0.819692,0.414233,1.360601,2.035886,0.723979,0.146658,0.118660,0.000000,0.089506,0.181091,0.151529,0.179442,0.478702,0.347620,0.216668,,,
39,BASELINE/results_expanded,results_expanded_train_20260204_185046_submission.json,0.189729,0.201005,0.784884,0.411749,1.385875,1.841617,0.741956,0.178234,0.170967,0.000000,0.025409,0.292510,0.092582,0.208087,0.436139,0.210167,0.283193,458.6,323,1.42
40,BASELINE/results_expanded,results_expanded_train_20260202_140250_submission.json,0.189610,0.200656,0.787094,0.412003,1.486856,1.835082,0.742391,0.178001,0.173403,0.000000,0.025409,0.292510,0.096034,0.208723,0.436079,0.203041,0.282901,483.6,323,1.50
41,BASELINE/results_expanded,results_expanded_train_20260204_093651_submission.json,0.187982,0.200411,0.782643,0.411788,1.381967,1.825469,0.741374,0.178460,0.172583,0.000000,0.025409,0.289425,0.091403,0.198945,0.433280,0.212142,0.278172,421.9,323,1.31
42,METHOD_D/submission_method_d2,submission_method_d2_20260209_112403.json,0.186008,0.191641,0.796787,0.510562,1.387765,1.434264,0.706280,0.138418,0.110683,0.000000,0.031523,0.181708,0.154299,0.176060,0.478702,0.347620,0.241068,,,
43,METHOD_D/submission_method_d2,submission_method_d2_20260209_112104.json,0.185089,0.194427,0.795242,0.478846,1.388113,1.432651,0.707087,0.138786,0.109626,0.000000,0.031523,0.181708,0.154299,0.177158,0.478702,0.347620,0.231473,,,
44,METHOD_D/submission_method_d2,submission_method_d2_20260209_112827.json,0.181685,0.189508,0.822191,0.482249,1.292788,1.427866,0.708899,0.140393,0.102237,0.000000,0.041063,0.169177,0.152146,0.171766,0.478702,0.347620,0.213743,,,
45,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260123_113237.json,0.170048,0.210959,0.639703,0.410747,1.259110,1.964728,0.690195,0.268001,0.117269,0.000000,0.139989,0.287018,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
46,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260123_124228.json,0.165088,0.204462,0.666591,0.411091,1.357464,1.974541,0.703140,0.255831,0.110757,0.000000,0.146415,0.249675,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
47,BASELINE/results_expanded_temporal,results_expanded_temporal_train_20260202_120015_submission.json,0.165065,0.197010,0.632448,0.582291,1.441378,0.848677,0.791808,0.008614,0.022476,0.000000,0.057542,0.383762,0.103222,0.001790,0.448308,0.342058,0.282873,730.2,323,2.26
48,OPT_MASK/results_structural_dbscan,results_structural_dbscan_train_0_323_20260209_141124.json,0.161748,0.182850,0.799137,0.439388,1.327821,1.828564,0.741718,0.179449,0.143252,0.000000,0.067769,0.212921,0.085206,0.134994,0.322398,0.238389,0.233099,1184.5,323,3.67
49,OPT_MASK/results_structural_dbscan,results_structural_dbscan_train_0_323_20260209_135704.json,0.160075,0.185035,0.798645,0.410021,1.328820,1.831382,0.741364,0.180089,0.145143,0.000000,0.067769,0.213022,0.085206,0.134994,0.322398,0.238389,0.213744,1184.5,323,3.67
50,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_145215.json,0.158454,0.200418,0.669454,0.413163,1.352150,2.024522,0.705470,0.235811,0.102028,0.000000,0.106236,0.252266,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
51,OPT_MASK/results_fast,results_fast_train_0_323_20260122_173759.json,0.157514,0.197408,0.712483,0.410622,1.284603,1.927204,0.690386,0.272282,0.115892,0.000000,0.121026,0.260560,0.123984,0.097831,0.193719,0.115264,0.274584,,,
52,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_174705.json,0.155065,0.199069,0.667891,0.413410,1.344343,2.017155,0.703337,0.226708,0.097231,0.000000,0.106776,0.231735,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
53,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_171706.json,0.155062,0.198788,0.670434,0.413241,1.337589,2.020869,0.703758,0.228273,0.098125,0.000000,0.106153,0.229864,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
54,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_165543.json,0.155058,0.198162,0.672533,0.413055,1.353288,2.028051,0.708082,0.217751,0.098125,0.000000,0.106153,0.240350,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
55,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_154838.json,0.151897,0.193865,0.686332,0.412945,1.290560,2.042377,0.721557,0.181026,0.103719,0.000000,0.110452,0.235570,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
56,OPT_MASK/results_fast_dbscan,results_fast_dbscan_train_0_323_20260209_163020.json,0.148996,0.190037,0.709251,0.413926,1.370492,1.997801,0.721434,0.182968,0.115246,0.000000,0.083088,0.220453,0.130163,0.111104,0.244616,0.126687,0.275631,1184.5,323,3.67
57,FLOW/results_flow,results_flow_train_0_323_20260127_164933.json,0.147006,0.189348,0.713922,0.410757,1.326704,2.114067,0.716870,0.207610,0.103915,0.000000,0.052512,0.217819,0.130163,0.111104,0.244616,0.126687,0.275631,1205.9,323,3.73
58,FLOW/results_flow,results_flow_train_0_323_20260127_153215.json,0.138579,0.190213,0.661435,0.412893,1.288176,2.172191,0.716439,0.183049,0.061271,0.000000,0.061000,0.192266,0.130163,0.111104,0.244616,0.126687,0.275631,1205.9,323,3.73
59,OPT_MASK/results_fast_unidepth,results_fast_unidepth_train_0_323_20260122_192637.json,0.137255,0.178803,0.772380,0.410817,1.227186,2.031098,0.715047,0.163907,0.076903,0.000000,0.148846,0.208253,0.113844,0.097831,0.186368,0.103516,0.273076,1000.2,323,3.10
60,TEST_OPENSIGHT/opensight_temporal,opensight_temporal_full.json,0.121753,0.179760,0.715066,0.406595,1.394364,2.431018,0.689506,0.072394,0.071946,0.000000,0.091209,0.164439,0.050674,0.075570,0.090358,0.423827,0.177108,,,
61,BASELINE/results_expanded_temporal,results_expanded_temporal_train_20260202_112319_submission.json,0.118600,0.132684,0.892431,0.539679,1.251419,2.000883,0.834053,0.065808,0.054408,0.000000,0.134924,0.257075,0.009715,0.023190,0.015948,0.342058,0.282873,513.2,323,1.59
62,OPT_MASK/results_fast_unidepth,results_fast_unidepth_train_0_323_20260122_193632.json,0.117124,0.170524,0.774231,0.420144,1.260224,2.170804,0.686006,0.120483,0.057578,0.000000,0.068811,0.149868,0.113844,0.097831,0.186298,0.103450,0.273076,1000.2,323,3.10
63,OPT_MASK/results_fast_unidepth,results_fast_unidepth_train_0_323_20260122_183707.json,0.111697,0.167062,0.782572,0.413958,1.248233,1.719778,0.691335,0.078499,0.063625,0.000000,0.087401,0.103929,0.117507,0.097831,0.191760,0.103381,0.273036,1000.2,323,3.10
64,BASELINE/results_convex_hull,results_convex_hull_train_20260130_184605_submission.json,0.098044,0.126059,0.983462,0.514881,1.222677,1.645056,0.731293,0.092816,0.139172,0.000000,0.179446,0.296324,0.043419,0.110698,0.091907,0.026005,0.000653,51.4,323,0.16
65,COMBINE/results_combined,results_combined_train_20260128_180511.json,0.082668,0.085624,0.933973,0.724593,1.296782,1.482030,0.898529,0.192824,0.144280,0.000000,0.203052,0.281818,0.000000,0.000000,0.004703,0.000000,0.000000,,,
66,OPT_MASK/results_fast,results_fast_train_0_323_20260122_140422.json,0.068798,0.086082,0.913351,0.731746,1.323452,1.607794,0.838075,0.220595,0.113033,0.000000,0.114464,0.239883,0.000000,0.000000,0.000000,0.000000,0.000000,,,
67,TRACKING/results_tracking,results_tracking_train_20260203_193259_submission_fixed.json,0.068165,0.130278,0.729867,0.790550,1.221658,0.604418,0.913217,0.001364,0.060015,0.000000,0.000000,0.366667,0.000000,0.011111,0.138236,0.096206,0.008055,445.0,315,1.41
68,OPT_MASK/results_fast,results_fast_train_0_323_20260122_113945.json,0.067277,0.082873,0.933051,0.733423,1.337685,1.480835,0.841176,0.214474,0.126351,0.000000,0.083141,0.248804,0.000000,0.000000,0.000000,0.000000,0.000000,,,
69,TEST_OPENSIGHT/opensight_baseline,opensight_baseline_full.json,0.061283,0.111334,0.797157,0.534790,1.208227,2.960062,0.861126,0.046107,0.051429,0.000000,0.067827,0.124597,0.000000,0.000000,0.004790,0.180056,0.138026,,,
70,TEST_OPENSIGHT/results_opensight,results_opensight_train_20260128_201022.json,0.058097,0.115097,0.728585,0.516334,1.211732,2.747596,0.894595,0.053151,0.031984,0.000000,0.111304,0.066817,0.000000,0.000000,0.041842,0.129533,0.146334,,,
71,TEST_OPENSIGHT/results_no_flow,results_no_flow.json,0.056935,0.114493,0.723125,0.518081,1.201021,2.875065,0.898538,0.053209,0.031498,0.000000,0.106031,0.066411,0.000000,0.000000,0.041952,0.124250,0.145995,,,
72,TEST_OPENSIGHT/results_tuned,results_full_tuned.json,0.056875,0.114724,0.723202,0.515041,1.196096,2.870071,0.898892,0.052936,0.031329,0.000000,0.111317,0.064162,0.000000,0.000000,0.041722,0.118812,0.148472,,,
